Model,Manufacturer,Pollution_CO2_g_per_pax_km,Passenger_Capacity,Units_Manufactured,Manufacturing_Country,Country_of_Origin,Year_First_Made,Range_km,Wingspan_m,Engine_Count,Engine_Type,Max_Speed_kph,Length_m,Height_m
BD548,Bombardier,479.44,640,74,Canada,Canada,1956,4017,78.06,2,Turbojet,807,64.6,7.51
A285,Airbus,309.91,132,1945,France,France,1952,3821,31.0,2,Turboprop,958,46.47,7.28
MJ843,Mitsubishi,444.11,305,1534,Japan,Japan,1972,4040,72.96,4,Turboprop,827,26.37,22.2
TU972,Tupolev,315.26,630,567,Russia,Russia,1999,5522,50.33,4,Turboprop,993,67.47,22.16
TU739,Tupolev,323.55,691,1115,Russia,Russia,2015,8003,20.59,4,Turbojet,944,27.49,9.47
BD748,Bombardier,194.54,170,664,Canada,Canada,1995,13649,28.58,4,Turboprop,995,29.51,18.99
BD191,Bombardier,104.53,659,1601,Canada,Canada,1991,10179,78.28,2,Turbofan,907,69.09,20.58
TU121,Tupolev,325.59,542,265,Russia,Russia,1985,11068,43.7,2,Turbofan,897,41.0,10.61
A677,Airbus,282.53,203,1131,France,France,1974,9839,36.3,2,Turbojet,952,64.72,17.02
MJ433,Mitsubishi,387.71,361,1967,Japan,Japan,2013,10368,62.28,2,Turbofan,806,32.66,7.9
B443,Boeing,421.61,769,950,USA,USA,1986,9420,23.2,4,Turbojet,906,67.57,23.91
C591,Comac,133.86,56,96,China,China,1950,5934,51.11,4,Turboprop,827,41.43,11.94
MJ644,Mitsubishi,421.96,809,282,Japan,Japan,1980,14507,27.86,4,Turboprop,932,25.39,7.84
A248,Airbus,495.86,535,870,France,France,1952,14706,60.86,2,Turbojet,845,31.9,19.98
TU614,Tupolev,313.5,452,1115,Russia,Russia,1957,8918,62.49,4,Turbojet,925,40.56,9.73
C861,Comac,351.53,375,925,China,China,2008,11230,25.41,2,Turbojet,814,75.0,8.0
C634,Comac,149.88,245,197,China,China,1990,4859,52.19,2,Turbojet,864,49.04,8.71
BD433,Bombardier,483.94,830,1387,Canada,Canada,1991,5194,48.85,2,Turboprop,952,63.05,9.97
C378,Comac,486.67,360,1593,China,China,1984,11357,26.28,4,Turboprop,913,34.43,13.73
MJ495,Mitsubishi,450.53,176,1150,Japan,Japan,2002,4794,74.65,2,Turboprop,999,68.23,20.8
C376,Comac,274.53,710,659,China,China,1998,2432,43.12,4,Turbojet,827,31.28,15.83
TU554,Tupolev,250.74,546,533,Russia,Russia,2008,7584,41.63,2,Turbofan,938,32.21,16.3
EM139,Embraer,270.83,248,1773,Brazil,Brazil,1986,2757,58.93,4,Turbojet,982,53.51,9.29
MJ953,Mitsubishi,426.89,172,1454,Japan,Japan,2016,7116,50.87,4,Turbofan,907,26.47,14.56
C295,Comac,156.83,204,1435,China,China,1956,14278,21.19,2,Turboprop,860,44.32,10.98
MJ348,Mitsubishi,220.3,573,654,Japan,Japan,1969,6486,57.58,2,Turbojet,845,40.45,16.81
B231,Boeing,462.31,277,30,USA,USA,1962,10313,66.5,4,Turbojet,967,64.61,17.8
MJ918,Mitsubishi,336.07,258,1111,Japan,Japan,1979,8749,59.23,4,Turboprop,999,27.58,10.18
A573,Airbus,385.98,598,1326,France,France,1960,2132,54.0,2,Turboprop,802,41.78,14.52
C526,Comac,235.23,124,864,China,China,1966,5796,27.19,4,Turbofan,877,74.7,15.35
EM321,Embraer,90.1,257,1275,Brazil,Brazil,1978,14359,32.14,2,Turbofan,872,73.77,18.17
A251,Airbus,466.5,700,888,France,France,1981,1582,53.25,4,Turbojet,800,47.92,16.73
BD689,Bombardier,293.32,149,1594,Canada,Canada,2012,3204,62.21,2,Turbofan,960,52.52,7.09
B132,Boeing,169.99,98,1659,USA,USA,2004,12960,73.3,4,Turboprop,960,67.34,11.31
C839,Comac,231.59,549,439,China,China,1990,9709,50.25,2,Turboprop,848,35.06,13.49
MJ803,Mitsubishi,52.41,506,1700,Japan,Japan,1973,10476,59.48,2,Turbofan,887,37.0,16.88
EM150,Embraer,66.43,374,114,Brazil,Brazil,1976,6316,23.1,2,Turboprop,944,25.54,6.67
A313,Airbus,335.23,55,365,France,France,1985,11668,59.32,2,Turbofan,978,36.93,8.07
EM164,Embraer,397.2,396,1759,Brazil,Brazil,2007,6299,60.35,4,Turbofan,840,26.6,22.17
A396,Airbus,405.39,725,431,France,France,1984,3889,45.69,2,Turbofan,845,60.77,23.14
B908,Boeing,50.75,609,987,USA,USA,1986,13792,53.53,4,Turbojet,869,73.64,19.52
C540,Comac,323.22,103,666,China,China,2003,4029,21.45,4,Turbojet,971,35.58,14.95
TU928,Tupolev,289.85,613,1667,Russia,Russia,1959,10684,52.44,4,Turbojet,827,70.32,6.53
TU601,Tupolev,381.36,367,1652,Russia,Russia,1985,4773,29.29,2,Turbofan,982,48.74,18.02
BD672,Bombardier,260.66,821,563,Canada,Canada,2006,14832,52.99,4,Turbojet,827,70.0,16.78
EM958,Embraer,318.9,628,1142,Brazil,Brazil,1962,8545,34.37,4,Turbofan,842,71.76,8.05
BD925,Bombardier,172.87,568,1852,Canada,Canada,1981,10675,43.0,4,Turbofan,888,39.96,19.9
BD656,Bombardier,244.39,825,813,Canada,Canada,1973,5763,20.32,4,Turbojet,967,62.35,21.63
MJ301,Mitsubishi,137.46,483,939,Japan,Japan,1971,6176,37.13,2,Turboprop,960,56.52,22.4
C625,Comac,148.07,251,717,China,China,1965,10117,65.02,4,Turboprop,840,27.77,14.69
BD554,Bombardier,77.07,681,1716,Canada,Canada,1999,12012,66.02,4,Turbojet,814,54.48,7.93
EM804,Embraer,87.85,123,32,Brazil,Brazil,1984,3919,46.94,2,Turbojet,881,52.42,13.41
BD330,Bombardier,490.93,418,62,Canada,Canada,1995,12248,47.16,4,Turbofan,888,40.69,12.86
A718,Airbus,214.07,355,1650,France,France,1962,10919,48.69,4,Turbojet,916,61.16,19.89
A522,Airbus,159.28,329,1180,France,France,1996,9747,39.54,2,Turbofan,817,51.73,22.45
BD840,Bombardier,107.16,221,834,Canada,Canada,1985,10706,43.71,2,Turboprop,811,44.78,11.13
B529,Boeing,478.05,449,1553,USA,USA,2013,12990,41.24,4,Turbofan,869,59.15,19.2
A911,Airbus,141.02,88,706,France,France,1967,9623,60.01,2,Turbofan,967,28.24,21.21
B593,Boeing,262.5,69,1303,USA,USA,2017,8809,29.53,4,Turbojet,867,39.24,14.89
TU629,Tupolev,186.27,322,829,Russia,Russia,2015,11439,48.78,4,Turboprop,964,36.48,12.17
TU693,Tupolev,235.38,282,963,Russia,Russia,2003,6882,54.54,2,Turbofan,906,34.67,10.1
BD179,Bombardier,57.34,761,502,Canada,Canada,1966,10240,38.99,2,Turbofan,820,45.06,9.68
EM100,Embraer,121.32,783,1740,Brazil,Brazil,1954,8694,23.79,4,Turbofan,946,69.21,10.21
BD264,Bombardier,138.83,560,559,Canada,Canada,2019,10407,71.35,2,Turbofan,808,52.78,18.84
TU384,Tupolev,248.58,756,1420,Russia,Russia,1990,13225,44.51,2,Turbofan,888,34.68,20.38
MJ887,Mitsubishi,254.5,129,263,Japan,Japan,1953,3677,67.77,2,Turboprop,975,62.0,11.47
A678,Airbus,90.88,340,56,France,France,1973,11723,42.32,4,Turboprop,800,43.55,15.67
MJ555,Mitsubishi,173.83,556,1414,Japan,Japan,1984,8838,72.79,4,Turbofan,854,56.91,13.5
B623,Boeing,250.25,685,14,USA,USA,1961,14268,44.9,2,Turboprop,985,30.37,18.65
A925,Airbus,331.71,725,1177,France,France,2001,6805,26.87,4,Turbojet,838,62.2,20.46
MJ392,Mitsubishi,66.94,437,1914,Japan,Japan,1970,3257,43.93,2,Turboprop,923,52.89,21.19
MJ468,Mitsubishi,217.85,200,646,Japan,Japan,2009,8399,43.24,2,Turboprop,946,66.81,10.67
BD406,Bombardier,50.43,782,1547,Canada,Canada,1955,7563,43.49,4,Turbojet,813,31.16,15.04
TU345,Tupolev,262.05,726,1371,Russia,Russia,1989,14302,24.12,2,Turbofan,837,73.73,15.78
BD522,Bombardier,436.7,649,423,Canada,Canada,2008,11703,65.36,4,Turbojet,911,57.11,18.61
MJ366,Mitsubishi,294.11,449,1170,Japan,Japan,1992,11818,61.95,4,Turbojet,937,45.63,23.05
EM263,Embraer,333.03,277,1971,Brazil,Brazil,1979,14884,29.13,2,Turbofan,875,69.87,9.94
EM760,Embraer,378.95,505,1838,Brazil,Brazil,2019,6715,44.13,4,Turbojet,890,68.45,8.19
B491,Boeing,305.86,506,1298,USA,USA,1951,3501,56.15,2,Turboprop,874,31.01,21.68
BD360,Bombardier,203.58,246,1439,Canada,Canada,1967,13391,34.22,4,Turbojet,945,61.16,23.39
C758,Comac,385.47,137,754,China,China,1998,6450,58.07,4,Turbojet,926,46.65,21.83
C303,Comac,107.2,707,799,China,China,1995,8373,79.55,2,Turbofan,806,50.91,18.85
A411,Airbus,238.53,255,378,France,France,1987,9653,39.03,4,Turbofan,967,62.07,10.4
MJ176,Mitsubishi,262.09,689,307,Japan,Japan,1988,14404,79.39,4,Turboprop,933,62.57,11.9
A412,Airbus,447.73,414,885,France,France,1979,3457,42.27,4,Turbojet,985,30.66,10.89
TU979,Tupolev,489.42,641,1049,Russia,Russia,1987,5107,79.3,2,Turbojet,912,63.18,17.33
A713,Airbus,306.75,598,246,France,France,1971,3221,60.15,4,Turbojet,952,53.43,20.2
TU477,Tupolev,106.87,560,981,Russia,Russia,1951,1663,54.03,4,Turbojet,895,64.73,20.4
TU682,Tupolev,241.68,763,11,Russia,Russia,1960,14603,78.26,2,Turbofan,839,32.85,8.7
A333,Airbus,497.57,715,15,France,France,2010,11288,65.04,4,Turbojet,925,42.45,22.96
MJ186,Mitsubishi,331.81,284,1446,Japan,Japan,1997,3761,76.05,2,Turboprop,971,56.81,11.14
B887,Boeing,314.12,554,1664,USA,USA,1959,10606,54.67,4,Turboprop,810,58.68,13.41
C660,Comac,254.55,113,1946,China,China,1998,7144,32.42,2,Turboprop,960,45.61,11.97
C700,Comac,411.27,463,197,China,China,1952,11641,65.76,4,Turbofan,930,33.51,17.92
B373,Boeing,247.95,616,1944,USA,USA,2012,4103,35.03,4,Turbofan,907,60.47,16.67
C312,Comac,220.4,596,1824,China,China,1968,3365,25.27,2,Turbofan,915,53.53,19.99
A841,Airbus,412.51,81,38,France,France,1960,2913,45.97,2,Turboprop,943,59.65,8.94
A201,Airbus,74.02,322,387,France,France,2008,11526,28.62,2,Turbofan,889,58.01,17.3
BD202,Bombardier,66.43,706,1991,Canada,Canada,1956,7020,42.01,4,Turbofan,940,64.16,7.13
A559,Airbus,467.83,709,1273,France,France,1968,9199,71.95,4,Turboprop,943,47.29,7.11
BD448,Bombardier,64.59,673,1455,Canada,Canada,1989,3877,61.04,4,Turbofan,830,30.0,14.77
BD227,Bombardier,455.06,526,1748,Canada,Canada,1987,1913,71.65,2,Turbofan,856,45.69,15.28
EM146,Embraer,356.6,600,646,Brazil,Brazil,1965,10332,23.57,2,Turbojet,877,56.0,17.52
A284,Airbus,421.64,524,556,France,France,1974,4128,42.07,4,Turbojet,933,32.99,11.78
MJ635,Mitsubishi,277.0,705,49,Japan,Japan,1963,2019,24.71,4,Turboprop,893,35.76,9.7
B243,Boeing,51.34,201,174,USA,USA,1979,3615,38.98,4,Turboprop,842,60.72,22.69
B807,Boeing,321.2,353,1082,USA,USA,2000,6414,25.0,2,Turboprop,894,38.54,10.1
BD649,Bombardier,381.28,163,339,Canada,Canada,1987,4916,40.64,4,Turbofan,940,50.83,12.8
MJ670,Mitsubishi,177.15,417,443,Japan,Japan,1965,11227,33.62,4,Turbojet,887,32.81,12.88
MJ638,Mitsubishi,421.02,175,1623,Japan,Japan,1953,2011,55.19,4,Turboprop,973,62.35,23.66
MJ793,Mitsubishi,263.85,153,1729,Japan,Japan,1972,14287,56.64,4,Turboprop,903,39.66,19.11
EM313,Embraer,375.12,251,972,Brazil,Brazil,2012,8771,37.78,4,Turboprop,992,66.36,7.22
EM463,Embraer,333.82,339,1671,Brazil,Brazil,2016,2240,25.54,2,Turbojet,872,61.94,18.97
B398,Boeing,491.72,355,563,USA,USA,2007,13726,67.05,2,Turbojet,979,74.8,21.82
B774,Boeing,327.0,463,26,USA,USA,1955,2976,20.76,2,Turboprop,847,66.74,21.61
MJ560,Mitsubishi,259.12,233,1162,Japan,Japan,2005,10975,35.06,4,Turbofan,999,35.08,16.73
MJ135,Mitsubishi,257.06,88,408,Japan,Japan,1985,7190,73.7,2,Turboprop,862,56.08,14.67
MJ377,Mitsubishi,459.85,760,552,Japan,Japan,2003,3724,66.79,2,Turbofan,859,26.16,20.07
EM375,Embraer,212.59,580,1864,Brazil,Brazil,1975,2156,20.34,2,Turboprop,812,60.19,15.35
EM483,Embraer,184.67,377,380,Brazil,Brazil,1969,6376,79.98,4,Turbojet,914,61.03,19.03
MJ374,Mitsubishi,457.32,633,1423,Japan,Japan,2005,4722,40.22,2,Turbojet,948,58.46,15.87
BD391,Bombardier,128.04,51,1513,Canada,Canada,1999,5667,54.09,2,Turbojet,809,71.63,11.12
B783,Boeing,152.39,347,767,USA,USA,1993,7235,35.71,2,Turbojet,1000,51.66,16.83
TU813,Tupolev,104.15,497,725,Russia,Russia,1997,14313,55.83,2,Turbofan,934,38.66,19.45
EM848,Embraer,478.46,66,155,Brazil,Brazil,2011,13651,43.6,4,Turboprop,945,42.04,23.73
C925,Comac,74.57,426,1217,China,China,2018,9903,20.52,4,Turbofan,800,33.89,8.41
EM593,Embraer,383.45,295,1093,Brazil,Brazil,1989,6423,55.59,4,Turbojet,944,36.66,22.23
EM892,Embraer,294.33,499,1078,Brazil,Brazil,1973,2890,44.72,2,Turbojet,966,63.55,13.07
BD561,Bombardier,482.63,392,178,Canada,Canada,1998,1511,25.0,2,Turboprop,844,58.2,16.92
MJ668,Mitsubishi,335.76,114,1871,Japan,Japan,2020,14833,56.33,4,Turboprop,857,60.75,6.91
A960,Airbus,426.11,52,1890,France,France,1986,4760,54.57,2,Turbojet,946,40.31,15.62
C337,Comac,281.74,500,298,China,China,1997,6685,55.88,4,Turbojet,924,42.12,10.11
B721,Boeing,445.24,718,629,USA,USA,2008,7112,39.21,4,Turbofan,979,32.02,13.05
EM408,Embraer,264.38,557,36,Brazil,Brazil,1960,5776,71.45,2,Turbofan,959,42.96,22.37
MJ630,Mitsubishi,486.38,590,467,Japan,Japan,1970,10138,22.5,2,Turbofan,830,26.12,10.19
BD847,Bombardier,287.96,183,1028,Canada,Canada,2003,13766,34.27,4,Turboprop,882,65.83,16.46
A851,Airbus,192.78,435,1843,France,France,1979,4130,45.18,2,Turbofan,994,49.53,16.95
EM718,Embraer,79.35,529,476,Brazil,Brazil,2004,3419,59.31,2,Turbojet,923,36.95,15.92
BD883,Bombardier,54.46,143,1349,Canada,Canada,2013,5739,54.97,2,Turbofan,957,48.19,8.75
A524,Airbus,336.28,461,836,France,France,1994,7474,48.24,2,Turboprop,850,34.6,7.81
EM653,Embraer,371.76,50,1446,Brazil,Brazil,1960,3774,71.29,4,Turboprop,971,74.47,18.03
TU292,Tupolev,347.41,764,656,Russia,Russia,1969,2269,41.25,2,Turboprop,953,64.71,18.87
BD893,Bombardier,247.6,745,1279,Canada,Canada,1953,13736,75.45,4,Turbofan,991,64.34,20.67
B802,Boeing,119.62,133,114,USA,USA,1981,12841,77.35,4,Turboprop,948,30.24,8.95
TU309,Tupolev,260.69,274,848,Russia,Russia,2017,3513,32.82,4,Turbojet,989,48.33,13.94
MJ591,Mitsubishi,180.43,64,1635,Japan,Japan,1951,8259,57.97,2,Turbofan,908,60.51,16.41
TU165,Tupolev,479.26,440,382,Russia,Russia,2010,9214,25.82,4,Turbofan,906,51.16,19.93
TU993,Tupolev,469.47,194,919,Russia,Russia,2017,6048,66.52,4,Turboprop,960,38.17,8.86
B852,Boeing,167.98,778,1438,USA,USA,1968,12961,60.78,4,Turboprop,809,43.11,8.0
B568,Boeing,186.65,53,1852,USA,USA,1989,14776,56.3,2,Turboprop,840,52.9,14.65
TU826,Tupolev,226.84,242,544,Russia,Russia,2000,3475,51.02,4,Turbojet,821,74.14,18.98
BD867,Bombardier,339.27,450,281,Canada,Canada,1959,2163,63.89,2,Turbofan,916,70.81,22.22
BD914,Bombardier,267.64,457,1947,Canada,Canada,1997,5096,64.25,2,Turboprop,893,37.82,8.35
EM418,Embraer,347.91,797,281,Brazil,Brazil,1953,6929,42.48,4,Turbojet,938,67.0,12.58
TU325,Tupolev,463.17,210,1138,Russia,Russia,1981,13865,43.82,2,Turbofan,938,53.43,23.69
B623,Boeing,140.3,429,942,USA,USA,1969,3682,42.56,4,Turbofan,883,54.1,15.37
A212,Airbus,423.23,457,301,France,France,2009,3613,71.4,2,Turbofan,943,32.57,7.86
EM916,Embraer,301.59,700,388,Brazil,Brazil,2006,7359,77.59,4,Turbofan,910,64.17,17.69
C205,Comac,212.31,523,1506,China,China,1991,13843,46.1,4,Turbojet,864,69.86,10.7
EM101,Embraer,404.44,833,156,Brazil,Brazil,1962,4455,37.86,4,Turbojet,1000,71.9,14.51
A620,Airbus,331.58,264,1694,France,France,1980,14640,48.21,4,Turbojet,809,47.62,7.72
TU767,Tupolev,446.76,97,502,Russia,Russia,2018,12269,58.39,2,Turbojet,927,60.8,19.52
TU195,Tupolev,71.53,559,139,Russia,Russia,2017,4269,42.94,4,Turbofan,941,46.06,22.97
TU973,Tupolev,362.19,733,552,Russia,Russia,1974,6918,75.48,4,Turboprop,934,74.93,7.91
B113,Boeing,334.79,209,1959,USA,USA,2001,9217,23.45,4,Turbofan,829,51.44,8.76
MJ923,Mitsubishi,114.07,442,1892,Japan,Japan,1991,13267,27.0,2,Turbofan,809,53.27,16.15
BD902,Bombardier,227.37,204,103,Canada,Canada,1958,2304,74.06,4,Turboprop,853,25.73,20.34
MJ144,Mitsubishi,224.94,559,1617,Japan,Japan,1980,12963,44.5,4,Turboprop,837,43.39,16.25
B728,Boeing,265.33,232,1768,USA,USA,1973,7261,36.6,2,Turbofan,839,33.7,21.24
A495,Airbus,213.16,293,1052,France,France,1965,3692,20.76,4,Turbofan,986,49.55,22.4
C367,Comac,229.56,509,323,China,China,2016,4879,76.37,4,Turbojet,945,68.78,22.28
MJ605,Mitsubishi,225.15,539,683,Japan,Japan,2014,1814,60.56,4,Turbojet,999,71.67,19.25
MJ654,Mitsubishi,463.24,669,620,Japan,Japan,1998,5748,49.59,2,Turboprop,898,29.66,11.87
TU609,Tupolev,219.8,213,1781,Russia,Russia,1962,5043,38.09,4,Turbofan,839,61.84,7.86
TU813,Tupolev,162.56,285,700,Russia,Russia,2000,6731,65.72,4,Turbojet,872,38.86,9.16
B610,Boeing,325.07,355,818,USA,USA,2002,5621,22.07,4,Turbofan,862,70.94,16.83
EM942,Embraer,188.86,669,755,Brazil,Brazil,1991,10413,20.35,2,Turbofan,802,71.55,12.74
BD624,Bombardier,215.05,429,864,Canada,Canada,1998,5534,22.66,2,Turbofan,902,54.8,12.05
C761,Comac,407.19,719,673,China,China,2003,8562,76.42,4,Turbofan,912,30.07,21.67
C568,Comac,490.02,515,221,China,China,2003,6037,40.79,2,Turbofan,992,44.66,19.97
MJ122,Mitsubishi,98.62,232,61,Japan,Japan,1985,6063,68.38,4,Turboprop,920,26.96,19.38
TU795,Tupolev,107.59,127,148,Russia,Russia,1971,13207,24.67,4,Turbojet,889,33.02,9.0
C747,Comac,94.3,412,1241,China,China,1978,8154,50.6,2,Turbofan,877,45.89,13.7
BD630,Bombardier,86.65,698,1280,Canada,Canada,2013,10828,41.44,4,Turboprop,851,74.01,9.32
BD582,Bombardier,188.3,398,1586,Canada,Canada,2012,7563,28.53,2,Turboprop,933,59.43,6.81
A848,Airbus,84.03,512,1384,France,France,2005,11272,62.1,2,Turbofan,956,54.99,16.22
TU638,Tupolev,78.06,779,634,Russia,Russia,1986,8996,22.42,2,Turbojet,809,66.68,9.03
BD899,Bombardier,213.17,784,1107,Canada,Canada,2010,2484,39.54,2,Turbofan,858,43.18,20.84
TU424,Tupolev,163.45,579,1200,Russia,Russia,2004,2860,53.99,2,Turbojet,910,44.05,23.23
BD301,Bombardier,259.29,472,1591,Canada,Canada,1984,4807,39.36,2,Turbojet,936,67.0,13.45
TU198,Tupolev,117.72,280,802,Russia,Russia,2009,5722,44.32,2,Turbofan,896,70.61,8.36
EM253,Embraer,322.54,815,1907,Brazil,Brazil,1998,11237,47.89,2,Turbofan,897,48.29,7.64
MJ110,Mitsubishi,105.83,436,1950,Japan,Japan,1962,7546,57.61,4,Turboprop,987,66.28,20.91
EM740,Embraer,308.94,514,1761,Brazil,Brazil,2016,12242,46.21,2,Turbofan,964,51.98,15.15
EM426,Embraer,339.75,832,418,Brazil,Brazil,1990,5537,35.87,4,Turboprop,823,47.27,11.21
B168,Boeing,58.88,225,1909,USA,USA,1967,9828,52.38,2,Turbofan,927,28.5,19.97
BD582,Bombardier,125.96,557,847,Canada,Canada,1995,7120,34.66,2,Turbojet,981,74.29,7.16
A739,Airbus,358.47,839,393,France,France,1991,3800,40.89,4,Turbofan,855,40.5,15.88
MJ755,Mitsubishi,100.11,544,237,Japan,Japan,1959,6452,27.83,2,Turbojet,810,66.96,18.77
TU537,Tupolev,307.77,424,61,Russia,Russia,2002,1753,57.1,2,Turbojet,881,57.22,17.55
MJ901,Mitsubishi,491.87,557,1138,Japan,Japan,1978,11771,50.21,4,Turbofan,831,74.58,7.53
B519,Boeing,241.77,156,941,USA,USA,1967,9027,72.74,2,Turbofan,881,65.46,16.05
BD700,Bombardier,214.04,608,1204,Canada,Canada,1982,4676,54.12,2,Turbojet,813,34.16,12.61
MJ273,Mitsubishi,166.59,272,1093,Japan,Japan,1950,3600,64.02,2,Turbofan,824,57.4,16.09
A498,Airbus,345.82,763,350,France,France,1992,6527,70.76,2,Turbofan,848,61.55,18.19
MJ747,Mitsubishi,497.22,813,1864,Japan,Japan,1970,11735,75.38,4,Turboprop,953,71.68,18.31
EM970,Embraer,303.26,400,1459,Brazil,Brazil,2003,3127,79.92,2,Turbojet,981,40.02,11.82
C598,Comac,460.62,123,622,China,China,1976,4625,40.5,4,Turboprop,974,31.88,8.27
A330,Airbus,257.12,248,1496,France,France,1967,5008,20.42,4,Turbofan,982,68.77,10.59
C775,Comac,311.84,526,371,China,China,1968,2431,47.09,2,Turboprop,904,72.42,7.68
A608,Airbus,374.72,707,128,France,France,2005,14517,30.84,4,Turbofan,886,46.26,6.43
BD561,Bombardier,84.06,326,1226,Canada,Canada,2001,5860,38.86,2,Turbofan,959,73.05,8.19
EM352,Embraer,191.16,472,1046,Brazil,Brazil,1955,6235,49.65,2,Turbojet,901,43.1,10.75
B755,Boeing,201.78,433,1812,USA,USA,1989,12898,36.58,4,Turbofan,1000,53.65,22.11
A914,Airbus,146.84,482,569,France,France,1976,14425,28.4,2,Turboprop,868,67.66,6.59
C866,Comac,264.2,318,402,China,China,2011,6476,42.58,4,Turbofan,898,71.29,20.08
TU912,Tupolev,54.86,836,721,Russia,Russia,1954,5493,53.28,4,Turbojet,871,62.07,22.4
BD421,Bombardier,481.39,696,787,Canada,Canada,1967,10547,78.67,2,Turbofan,827,66.86,8.81
TU435,Tupolev,459.91,749,1577,Russia,Russia,1962,13997,52.46,2,Turbojet,869,74.71,17.26
C463,Comac,192.78,476,756,China,China,1999,4591,65.13,2,Turbofan,883,30.23,18.3
EM377,Embraer,411.14,761,1772,Brazil,Brazil,1965,4763,63.2,4,Turbofan,973,60.77,7.71
TU591,Tupolev,336.38,312,846,Russia,Russia,1995,9629,44.87,4,Turbojet,896,30.42,12.93
MJ760,Mitsubishi,391.43,194,1781,Japan,Japan,2001,2789,64.92,2,Turbofan,978,51.18,8.82
TU673,Tupolev,203.44,323,1442,Russia,Russia,1995,2486,77.56,2,Turbofan,944,30.54,20.17
TU507,Tupolev,399.68,554,277,Russia,Russia,1967,14838,29.02,2,Turbojet,937,54.63,23.52
TU750,Tupolev,418.74,627,734,Russia,Russia,2018,6413,57.91,4,Turbojet,848,61.04,16.81
C695,Comac,172.49,540,1271,China,China,1975,1996,63.09,2,Turbojet,888,36.75,9.32
MJ458,Mitsubishi,91.26,128,1260,Japan,Japan,1981,1817,59.19,2,Turbojet,876,65.1,21.86
A211,Airbus,162.65,690,795,France,France,2015,9231,47.09,4,Turbofan,885,73.34,15.47
TU538,Tupolev,486.12,441,1272,Russia,Russia,1960,5363,26.26,4,Turbojet,958,62.86,18.19
MJ802,Mitsubishi,69.38,324,957,Japan,Japan,2016,4315,71.16,2,Turbofan,940,67.46,16.04
MJ666,Mitsubishi,248.58,344,563,Japan,Japan,1968,8991,51.43,4,Turbofan,929,61.4,22.98
EM669,Embraer,436.61,206,1729,Brazil,Brazil,1978,13434,38.16,2,Turbojet,903,35.76,15.03
EM902,Embraer,56.98,459,1951,Brazil,Brazil,1953,5139,45.84,4,Turbofan,903,46.49,17.35
BD461,Bombardier,139.62,788,61,Canada,Canada,1981,6628,78.33,4,Turbojet,910,61.69,14.76
MJ923,Mitsubishi,87.49,85,803,Japan,Japan,2013,10641,71.13,2,Turboprop,963,36.86,14.75
BD280,Bombardier,148.69,837,1346,Canada,Canada,1975,5633,47.45,2,Turbofan,906,27.73,12.41
C228,Comac,194.7,248,594,China,China,2000,2482,54.08,4,Turboprop,996,69.01,9.27
A868,Airbus,95.5,128,1526,France,France,1975,14352,72.77,2,Turboprop,989,63.92,8.15
EM763,Embraer,436.15,435,54,Brazil,Brazil,1953,8771,20.7,4,Turbojet,1000,74.6,16.34
BD659,Bombardier,475.01,340,805,Canada,Canada,1960,3499,45.64,2,Turbojet,912,53.41,13.38
A521,Airbus,289.33,77,1705,France,France,1964,14116,39.22,2,Turbojet,959,70.69,6.68
EM741,Embraer,451.42,761,10,Brazil,Brazil,2019,2809,74.87,4,Turbojet,999,38.4,17.68
EM213,Embraer,343.98,55,848,Brazil,Brazil,2013,6413,57.39,4,Turbofan,830,46.75,6.88
C583,Comac,296.61,218,1652,China,China,1951,4166,37.04,2,Turbofan,846,62.63,13.29
MJ593,Mitsubishi,430.53,303,648,Japan,Japan,2006,3913,24.99,4,Turbojet,896,57.14,21.14
TU795,Tupolev,436.36,256,1182,Russia,Russia,1992,12081,32.56,4,Turboprop,849,67.67,19.21
BD196,Bombardier,236.51,526,1132,Canada,Canada,1985,8604,31.73,2,Turbofan,965,28.79,19.09
EM773,Embraer,129.14,517,1066,Brazil,Brazil,2000,1529,77.63,2,Turboprop,962,49.49,18.18
EM912,Embraer,153.29,76,1655,Brazil,Brazil,2018,7675,48.39,2,Turbojet,889,30.95,16.92
B513,Boeing,262.33,649,583,USA,USA,2014,4449,45.46,4,Turbojet,883,32.89,8.64
MJ111,Mitsubishi,387.04,201,1029,Japan,Japan,1990,12392,45.12,4,Turbojet,922,54.77,8.89
BD521,Bombardier,191.95,565,1758,Canada,Canada,2001,4439,47.14,4,Turboprop,980,63.59,6.17
C685,Comac,212.49,838,192,China,China,1997,6316,27.86,4,Turboprop,912,73.69,13.81
BD650,Bombardier,257.86,562,1710,Canada,Canada,1989,4095,59.7,4,Turbofan,880,73.37,9.95
MJ357,Mitsubishi,304.26,787,431,Japan,Japan,1973,8824,37.97,4,Turbofan,814,60.81,12.34
TU720,Tupolev,214.04,115,73,Russia,Russia,1952,10596,69.61,2,Turbofan,873,47.64,18.98
TU996,Tupolev,415.47,441,1203,Russia,Russia,1987,11663,56.35,4,Turboprop,977,35.28,17.83
TU495,Tupolev,198.84,229,1788,Russia,Russia,1968,12457,45.63,4,Turbojet,813,45.55,9.75
B296,Boeing,145.1,733,523,USA,USA,1965,11463,35.46,4,Turboprop,937,53.32,8.88
A379,Airbus,426.52,216,1791,France,France,1969,12758,38.65,2,Turbojet,861,51.37,22.04
